"",name,region,variety,rating,notes
20459,Dugat-Py Mazis Chambertin 2005,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,99,"This Grand Cru wine, which comes from a plot of vines with an average age of 70+ year old, is aged for 16-18 monts in new oak casks. It can be enjoyed in its youth with decanting a few hours before serving."
20461,Dugat-Py Mazis Chambertin 2010,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,98,"This Grand Cru wine, which comes from a plot of vines with an average age of 70+ year old, is aged for 16-18 monts in new oak casks. It can be enjoyed in its youth with decanting a few hours before serving."
20485,DuMOL Estate Pinot Noir 2012,"Russian River, Sonoma County, California",Red Wine,97,"Brilliant deep rose color. Penetrating floral, fruit and herbal aromas: black cherry and raspberry, fresh herbs, fragrant flowers, toffee and cocoa powder. Great vineyard purity with tightly entwined aromas and flavors. Dark fruits, earth, fresher blueberry, orange zest, a hint of black olive. Structured back end with lifting acidity and youthful tannins."
20568,Dunn Howell Mountain Cabernet Sauvignon (1.5L Magnum - chipped wax) 2007,"Napa Valley, California",Red Wine,97,"Muscular Cabernet that will need four or five years to peak. Concentrated fruit has brawny tannic structure. Cedar, vanilla and dark chocolate from toasty oak will integrate with bottle age. There's noteworthy intensity and focus to the flavors, then the structure amps up in the finish. Has outstanding length and pervasive earthiness and minerality. Try this in 2015 and cellar it with confidence until at least 2025."
20580,Dunn Howell Mountain Cabernet Sauvignon 2008,"Howell Mountain, Napa Valley, California",Red Wine,98,"Dunn Vineyards produces only 2,500 cases of Howell Mountain Cabernet Sauvignon. This wine is 100% Cabernet Sauvignon."
20638,Dutschke The 22 Year Old Tawny (375ML half-bottle),Australia,,98,"""The 22 year old Tawny"" is a blend of some fantastic individual components. Over recent years I have put together a 1,500 litre (5 Hogshead) Solera, where I now am able to bottle off a small volume of some consistently good quality port for my mail order and US market. Verdelho, Grenache and Shiraz make up over 70% of the blend, with much of this being over 30 years old, and responsible for adding lusciousness and the great ""rancio"" characters. This blend has also a splash of Frontignac, Rutherglen Muscat and a component of 33 year old Palomino that I included to add more complexity and richness.Each of these individual fortified wines have been left to rest and mature untouched for many years. My job was to find them all and blend together to generate a wonderful combination of flavours."
20640,Dutschke The Tokay (half-bottle),Australia,,98,"Having a real love for good Aussie fortifieds I have now put together ""The Tokay"". It's a blend of Barossa Valley Tokay with the lusciousness, and nuttiness you'd expect from the Rutherglen Tokay's.  The idea of a Tokay developed during vintage 2002 when cousin Jeff asked if I could make him a barrel of Tokay for him to stow away in his shed. There was one remaining row of old Tokay in the vineyard and it's days looked to be numbered. This Tokay had recently been used for a local winemaker's sparkling wine base and was no longer required. The plan was to make a barrel of fortified Tokay for the shed and after vintage knock the vines out with the bulldozer. I struck a deal with Jeff, agreeing that if the wine shaped up well that maybe we would get to keep the vines.   We produced 4 hogsheads and the wine was great, and as a result the vines are now here to stay. 2 barrels of Tokay are in Jeff's shed and I got to take the rest. "
20961,Elderton Command Shiraz 2000,"Rias Baixas, Spain",Red Wine,97,Number 27 on 
21512,Eroica 1998 Single Berry Select 1997,"Columbia Valley, Washington",White Wine,98,"""Breathtaking in its richness and power, yet balanced against a lacy web of acidity that keeps the sticky, syrupy textures from going over the top. Flavors of apricot, baked apple, dried pineapple and tropical fruit last and last. Drink now through 2020. 100 cases made. (HS)"""
21594,Espectacle Espectacle del Montsant (1.5L Magnum) 2010,Spain,Red Wine,98,"Moderately intense red color with purple hues. The aroma, at first appears to be closed; immidiately seduces with an unusual complexity and intensity. Initially stands a background of ripe black fruit wrapped in hardwood. As air reaches the wine, it's scent completely changes to a citric orange and floral notes that are so characteristic for this unique wine. The rose and the orange blossom fill the glass with a surprising exuberance. On the palate is it opulent, seductive and highly persistant. As in previous years, it's high concentration relies on the aroma and not on a great tannic structure. It's a wine that grows on the palate as the seconds pass. Yet another year, this wine reflects the formidable personality of centenary vines from an unmistakable region."
21596,Espectacle Espectacle del Montsant 2010,Spain,Red Wine,98,"Moderately intense red color with purple hues. The aroma, at first appears to be closed; immidiately seduces with an unusual complexity and intensity. Initially stands a background of ripe black fruit wrapped in hardwood. As air reaches the wine, it's scent completely changes to a citric orange and floral notes that are so characteristic for this unique wine. The rose and the orange blossom fill the glass with a surprising exuberance. On the palate is it opulent, seductive and highly persistant. As in previous years, it's high concentration relies on the aroma and not on a great tannic structure. It's a wine that grows on the palate as the seconds pass. Yet another year, this wine reflects the formidable personality of centenary vines from an unmistakable region."
21597,Espectacle Espectacle del Montsant 2012,Spain,Red Wine,99,"Its color is surprisingly intense compared to previous vintages. Bright, airy and deep, it delights us with a lush appearance in which clear violet notes on a ruby background can be distinguished. The wine initially evokes notes of red fruits on a well defined floral background. Rose and violet notes quickly appear. These are surrounded by increasing complexity in which cocoa and cassis are clearly distinguished. Gradually, as it aerates, the wine's aroma expands and characteristic notes of orange blossom appear. In the month it is opulent and very unctuous. Almost immediately its intense, agreeable texture caresses the palate giving very pleasant sensations and leaving us with a pleasant and long finish."
21599,Espectacle Montsant 2014,"Montsant, Spain",Red Wine,97,"Its color is surprisingly intense compared to previous vintages. Bright, airy and deep, it delights us with a lush appearance in which clear violet notes on a ruby background can be distinguished. The wine initially evokes notes of red fruits on a well defined floral background. Rose and violet notes quickly appear. These are surrounded by increasing complexity in which cocoa and cassis are clearly distinguished. Gradually, as it aerates, the wine's aroma expands and characteristic notes of orange blossom appear. In the month it is opulent and very unctuous. Almost immediately its intense, agreeable texture caresses the palate giving very pleasant sensations and leaving us with a pleasant and long finish."
21705,Evening Land Seven Springs Vineyard La Source Pinot Noir 2012,"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,98,#3 
21811,Failla Hirsch Vineyard Pinot Noir 2010,"Sonoma County, California",Red Wine,97,"Aromatics of the Hirsch Vineyard Pinot Noir 2010 are quintessential Hirsch; expressive with raspberry, green tea, sandalwood and balsam. The palate shows the noble side of Pinot Noir; fine but resolved tannins that give way to great freshness as a result of the well preserved acidity."
21815,Failla Occidental Ridge Vineyard Pinot Noir 2010,"Sonoma County, California",Red Wine,97,"2010 brought out more of Occidental's savory side with aromatics of maple syrup, pecan, and sassafras. Brighter on the palate this vintage, with a juicy mouthfeel balanced by acidity and resolved firm tannins."
21982,Famille Perrin Gigondas l'Argnee Vieilles Vignes 2012,"Gigondas, Rhone, France",Red Wine,97,"This wine gets its exceptional aromas from vines spanning less than 1 hectare, with nearly 100 years in age."
22145,Fattoria Le Pupille Elisabetta Geppetti Saffredi (1.5 Liter Magnum) 2013,"Tuscany, Italy",Red Wine,98,"Rich garnet red in color, with an opulent bouquet of black plums, cassis, cedar spice, and violet this wine exudes pedigree. Warm and luscious, the fruit expands on the palate as the well-integrated tannins fill the mouth.  Long and lingering the finish is unforgettable."
22147,Fattoria Le Pupille Elisabetta Geppetti Saffredi (1.5 Liter Magnum) 2017,"Tuscany, Italy",Red Wine,97,"Deep ruby color with purple reflections. It shows pronounced flavors of black fruits like blackcurrant and black cherry along with spicy aromas of cloves, cinnamon and licorice. The palate has a generous velvety texture with round tannins and a return of the fruit for a long and persistent finish."
22152,Fattoria Le Pupille Elisabetta Geppetti Saffredi 2013,"Tuscany, Italy",Red Wine,98,"Rich garnet red in color, with an opulent bouquet of black plums, cassis, cedar spice, and violet this wine exudes pedigree. Warm and luscious, the fruit expands on the palate as the well-integrated tannins fill the mouth.  Long and lingering the finish is unforgettable."
22156,Fattoria Le Pupille Elisabetta Geppetti Saffredi 2017,"Tuscany, Italy",Red Wine,97,"Deep ruby color with purple reflections. It shows pronounced flavors of black fruits like blackcurrant and black cherry along with spicy aromas of cloves, cinnamon and licorice. The palate has a generous velvety texture with round tannins and a return of the fruit for a long and persistent finish."
22231,FEL Savoy Vineyard Pinot Noir 2015,"Anderson Valley, Mendocino, California",Red Wine,97,"Aromatic waves of black cherry, pomegranate, and boysenberry fill the glass of this elegantly concentrated wine. Subtle notes of anise, black tea leaves, and redwood needles add further depth and complexity to the nose. The weight and concentration of this heady wine is immediately apparent in the mouth, with dense layers of black fruit, pencil shavings, and hints of cocoa. The velvet-like tannins provide structure that is punctuated by a refreshingly acidic finish that lingers in the mouth for several minutes. This wine will age gracefully for a full decade or more. "
22346,Felsina Maestro Raro Cabernet Sauvignon 2016,"Tuscany, Italy",Red Wine,97,"The grapes come from the vineyards Rancia Piccola and Poggiolo, the first also called Mastro Raro, adjacent and similar to that of Rancia. The best-known and most wydely-planted red grape in the world, Cabernet Sauvignon, was planted here, right in the locus of the Felsina terroir at its most classic. First vintage 1987. "
22471,Ferrari Giulio Ferrari Riserva del Fondatore 2006,"Trentino, Trentino-Alto Adige, Italy",Sparkling & Champagne,97,"It presents itself in the glass with a glowing golden hue, highlighted by extremely fine, persistent bubbles. The bouquet displays an incredible succession of sensations that continue to alternate, ranging from citrus zest to creamy eggnog, from mango to sugared almonds, and from acacia blossom to freshly baked brioche, all underpinned by an enticing hint of iodine. The entry on the palate is sumptuous in its unbridled elegance and light in its incredibly concentrated fruitiness, which offers reminiscences of ripe pineapple, dried fruits and toasted hazelnuts. The finish is very refined, revealing lingering brackish notes that give even greater length to the aftertaste."
22767,Figgins Estate Red Wine 2010,"Walla Walla Valley, Columbia Valley, Washington",Red Wine,97,"Intoxicating aromas of cinnamon, dried flowers, baking spices, and blackberry puree. Not as immediately sexy and appealing as the voluptuous 2009 but exhibiting all of the same charactersitics of Figgins Estate Vineyard with more classic structured backbone and long term attractiveness.. This vintage shows amazing purity of fruit and aromatics, balanced by the structure and acidity of a cool vintage, with an immaculate finish to both the weather and the wine."
23068,Flowers Sea View Ridge Pinot Noir 2010,"Sonoma County, California",Red Wine,98,"Deep vibrant red color. Delicate floral notes of rose petal and bergamot combine with hints of forest floor, earth and ripe cherry. Flavors emerge with raspberry, red current and dried cherry with hints of graphite and other minerals. The wine's texture is elegant and smooth across the palate with an enduring finish."
23182,Fonseca Vintage Port 1992,Portugal,Collectible,97,"Fonseca vintage ports are renowned for their great fruit richness and voluptuousness, and, while powerful and mouthfilling, for their breed and balance.  In the context of each vintage, they combine the tannic dimension and grip which give great port its longevity with the structure and complexity that are Fonsecas hallmark."
23183,Fonseca Vintage Port 1994,Portugal,Collectible,97,"Dark red, ruby edge. Dense blackcurrant fruit, very fresh and elegant, incredible balance of fine fruit and the first hints of bottle maturity. On the palate it is very full, with lots of fine tannins which carry loads of fresh blackcurrant fruit. The youth it still holds today is the testament of how extraordinary this vintage is, and the capacity it has to continue to age for the rest of this century."
23686,Freemark Abbey Bosche Cabernet Sauvignon 2012,"Rutherford, Napa Valley, California",Red Wine,97,"Dark ruby in color, the 2012 Bosché has sweet black cherry aroma with integrated oak spice and black fruits. The complexity in the nose expresses green olive, aromatic cedar, walnut meat, mushroom and dark chocolate. The flavor is big, voluptuous, soft and velvety, with rich great depth of black fruit. The tannins are well integrated providing a very long fruitful finish."
23733,Freemark Abbey Sycamore Cabernet Sauvignon 2015,"Rutherford, Napa Valley, California",Red Wine,97,"This opaque dark ruby wine has aromas of black currant and blueberry, with nuances of blackberry jam on toast, dark chocolate truffle, and forest floor. The oak adds the right amount of complexity with aromatic cedar, cinnamon, and clove. The wine has a great depth of black fruit flavor, with a strong expression of sweet black cherry and dark plum. There is a complexity in the nose that hints of tobacco, Mexican spice, and a briary thicket. This full-bodied cabernet sauvignon has expressive tannin, and, with good acidity, shows great aging potential. "
23795,Frescobaldi Castelgiocondo Brunello di Montalcino Riserva 1999,"Montalcino, Tuscany, Italy",Red Wine,97,"A generous, multi-layered aromatic spectrum, veined with crisp nuances of menthol, followed by clean-edged fragrances of dark red berries, in particular blackberry and blueberry. Last to emerge are notes of rich spice, where elegant hints of black pepper and cinnamon predominate, capped by pungent tobacco leaf.  "
23811,Frescobaldi Castiglioni Giramonte 2006,"Tuscany, Italy",Red Wine,97,"Giramonte is Tenuta di Castiglioni's single-vineyard cru, produced in limited quantities from merlot and sangiovese. A purple-rimmed ruby red, so intense as to be almost opaque. Intense aromas of wild cherry and blackberry, both fresh-picked and as preserves, in addition to roasted hazelnuts, espresso beans, chocolate, vanilla, and cocoa butter, with spicy impressions of clove. Rich and smooth in the mouth, with an emphatic suite of smooth, velvety tannins and very lengthy development and finish."
24005,Fuligni Brunello di Montalcino Riserva 2001,"Montalcino, Tuscany, Italy",Red Wine,97,"Only made in the finest years, the Fuligni Brunello di Montalcino Riserva shows remarkable elegance and complexity, and a beautiful bouquet of marasca cherries, tobacco and mint, with a lovely, long finish."
24017,Futo (1.5 Liter Magnum) 2007,"Napa Valley, California",Red Wine,97,FUTO is the culmination of our efforts to produce the finest Cabernet-based blend possible from our estate vineyards. In making FUTO we strive for a balance of complexity and focus. We believe the wine should display power while retaining the site-specific characteristics that make the wine unique. 
24022,Futo 2007,"Oakville, Napa Valley, California",Red Wine,97,FUTO is the culmination of our efforts to produce the finest Cabernet-based blend possible from our estate vineyards. In making FUTO we strive for a balance of complexity and focus. We believe the wine should display power while retaining the site-specific characteristics that make the wine unique.
24025,Futo 2011,"Oakville, Napa Valley, California",Red Wine,97,"This wine’s aroma has it all: plums, incense, tobacco leaf, violets, and exotic spices. Zero racking and extended lees contact has given the 2011 FUTO a satisfying balance of creamy richness and superb freshness. Generous and inviting flavors of black-skinned fruits, cappuccino, citrus and cloves work in harmony with the sweet tannin and well integrated oak. While texturally approachable now, the inner density and complexity of this wine will continue to unfold with cellar age."
24027,Futo 2013,"Oakville, Napa Valley, California",Red Wine,98,"A complex wine from a complex estate. The FUTO Oakville Estate Red Wine finds its feet with rich, sumptuous Cabernet Sauvignon but leans heavily on Cabernet Franc for poise and finesse. Petit Verdot is layered in for good measure."
24029,Futo Cabernet Sauvignon 5500 (1.5 Liter Magnum) 2013,"Oakville, Napa Valley, California",Red Wine,98,"An opulent wine with saturated purple color. Pure aromas of black cassis, kirsch, mulberry and violets. A wine of great intensity and presence, but freshness and precision. The oak is nearly all concealed by the fruit which is penetrating and supported by powdery tannins and perfect acidic tension. The finish is complex with an added mineral stain leaving no doubt this wine has the reserves to age for decades."
24030,Futo Cabernet Sauvignon 5500 2012,"Stags Leap District, Napa Valley, California",Red Wine,99,"An opulent wine with saturated purple color. Pure aromas of black cassis, kirsch, mulberry and violets. A wine of great intensity and presence, but freshness and precision. The oak is nearly all concealed by the fruit which is penetrating and supported by powdery tannins and perfect acidic tension. The finish is complex with an added mineral stain leaving no doubt this wine has the reserves to age for decades."
24031,Futo Cabernet Sauvignon 5500 2013,"Oakville, Napa Valley, California",Red Wine,98,"An opulent wine with saturated purple color. Pure aromas of black cassis, kirsch, mulberry and violets. A wine of great intensity and presence, but freshness and precision. The oak is nearly all concealed by the fruit which is penetrating and supported by powdery tannins and perfect acidic tension. The finish is complex with an added mineral stain leaving no doubt this wine has the reserves to age for decades."
24168,Gaja Costa Russi 1997,"Piedmont, Italy",Red Wine,97,"Drinking wonderfully at the moment, but will improve further with age. Aromas of berry, mint, roses and violets follow through to a medium-to full-bodied palate, with round, velvety tannins and a ripe fruit aftertaste. Drink now through 2010."
24169,Gaja Costa Russi 1996,"Piedmont, Italy",Red Wine,97,"Drinking wonderfully at the moment, but will improve further with age. Aromas of berry, mint, roses and violets follow through to a medium-to full-bodied palate, with round, velvety tannins and a ripe fruit aftertaste. Drink now through 2010."
24176,Gaja Costa Russi 2007,"Piedmont, Italy",Red Wine,97,"Dark ruby/purple.  A captivating and refined nose with well-integrated aromas of blackberries, violets and roasted coffee beans. Elegance and crystal purity characterize this extremely complex and densely woven wine with an aging potential of decades."
24228,Gaja Sori Tildin 1997,"Piedmont, Italy",Red Wine,97,"This Piedmont beauty is dark in color and beautifully compacted on the midpalate, where it displays gorgeous blackberry, black cherry, mint and spicy oak notes. Tannins are firm and ripe. A serious red that needs time. Best from 2002 through 2008."
24251,Gaja Sperss 2007,"Piedmont, Italy",Red Wine,97,"The nose shows a dark, pure and very focused fruit with classic hints of tar, licorice and a touch of truffles. Sperss displays the austere character typical of Serralunga terroir: deep structure and lots of ripe tannins. Dense, massive yet seamless, this beautifully integrated wine possesses low acidity as well as a terrific finish."
24271,Galardi Roccamonfina Terra di Lavoro 2004,Italy,Red Wine,97,"The wine is deep purple in color with smoky, earthy aromas and hints of tobacco and graphite. Notes of ripe black cherries, cassis, tobacco and leather come through on the palate of this big-structured, full-bodied wine. This iconic wine pairs beautifully with Italian or French pot roasts, filet mignon or aged cuts of beef. "
24274,Galardi Roccamonfina Terra di Lavoro 2008,Italy,Red Wine,97,"The family owned Galardi estate produces just one wine and it does so with perfection. Located onvolcanic slopes in northwestern Campania, the vineyards are nestled among chestnut groves andbenefit from Mediterranean Sea breezes. Terra di Lavoro actually means ""land of work"" in Italian, aname that has historical roots, but also accurately reflects the difficult volcanic soil compositionwhich results in very low yields. In this challenging environment, Aglianico and its supporting grapePiedirosso produce wines of incredible depth, complexity and elegance."
24706,Giacomo Conterno Cascina Francia Barolo (1.5 Liter Magnum) 2004,"Barolo, Piedmont, Italy",Red Wine,97,"In years of outstanding quality, a selection is made while the Nebbiolo grapes are still on the vines, and the very best are reserved to become Monfortino. The two Barolos are fermented identically, with the exception that no temperature control is employed for Monfortino no matter how high the temperatures may go. The wines are then racked into their respective botti for elevage. The Barolo ""Cascina Francia"" is bottled after approximately four years in wood, and the Monfortino after approximately seven years."
24707,Giacomo Conterno Cascina Francia Barolo 2004,"Barolo, Piedmont, Italy",Red Wine,97,"In years of outstanding quality, a selection is made while the Nebbiolo grapes are still on the vines, and the very best are reserved to become Monfortino. The two Barolos are fermented identically, with the exception that no temperature control is employed for Monfortino no matter how high the temperatures may go. The wines are then racked into their respective botti for elevage. The Barolo ""Cascina Francia"" is bottled after approximately four years in wood, and the Monfortino after approximately seven years."
24708,Giacomo Conterno Monfortino Barolo Riserva 2002,"Barolo, Piedmont, Italy",Red Wine,98,Fruit Source:Cascina Francia cru in Serralunga 
24709,Giacomo Conterno Monfortino Barolo Riserva 2006,"Barolo, Piedmont, Italy",Red Wine,98,"The bouquet is perfectly matched to the wine. Elegance and finesse add contrast to the wine’s sheer power and determination. Dried rose, licorice, tar, spice and tobacco show immense definition and focus."
24710,Giacomo Conterno Monfortino Barolo Riserva 2010,"Barolo, Piedmont, Italy",Red Wine,97,"Since 1978, both Barolos—Monfortino and Cascina Francia—have been sourced exclusively from Cascina Francia. Monfortino represents, of course, a selection of the best grapes in the greatest years. But it also made differently, first undergoing an uncontrolled fermentation at relatively high temperatures. On average, Monfortino also remains an additional three years longer in large oak casks (botti). Monfortino’s extra aging in cask, says Roberto, is a consequence of the extraordinary structure, power and concentration of the wine."
24901,Giuseppe Rinaldi Barolo Brunate 2010,"Barolo, Piedmont, Italy",Red Wine,97,#51 
24908,Glaetzer Amon Ra Shiraz (1.5 Liter Magnum) 2006,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,99,"97-100 points WA ""Amon-Ra has become one of Australia's icon wines. Made from 100% Shiraz sourced from vineyards ranging in age from 80-120 years and with microscopic yields of 0.5 tons per acre, the 2006 Amon-Ra was aged for 15 months in new French and American oak. The wine is a thick, glass-coating, purple/black in color. The aromas cover a wide range of scents including smoke, vanilla, pepper, Asian spices, coconut, espresso, blueberry, and chocolate. Thick, rich, layered, and complete, this monumental wine offers extraordinary intensity and length. It requires 10-15 years to fully evolve and should easily last through 2040. Hats off to Ben Glaetzer for producing an extraordinary portfolio! The renowned winemaker, Ben Glaetzer, sources all of his fruit for this label from the Ebenezer district in the northern Barossa. Many knowledgeable experts cite this sub-region as the finest in the Valley."" - Wine Advocate"
24911,Glaetzer Amon Ra Shiraz 2007,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,99,"Amon-Ra is considered to be the king of all gods. The temple of Amon-Ra, now known as the temple of Karnak, was believed to be the first temple to ever plant a mono-culture vineyard to produce wine for the citizens of the temple. Rameses 111 lists 513 vineyards belonging to the temple of Amon-Ra."
24920,Glaetzer Anaperenna Shiraz/Cabernet Sauvignon 2006,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,97,"""The 2006 Shiraz (75%) – Cabernet Sauvignon (25%) ""Anaperenna"" is the wine formerly known as Godolphin, the change resulting from a trademark dispute. It was aged for 15 months in new French and American oak. Opaque purple, it offers a sensational bouquet of pain grille, scorched earth, meat, game, blueberry, and black currants. This is followed by a surprisingly elegant yet powerful, structured wine with gobs of spicy fruit, ripe tannins, and a plush texture. The long, 60-second finish is succulent and sweet. Give this classy wine 4-6 years in the cellar and enjoy it through 2030. Hats off to Ben Glaetzer for producing an extraordinary portfolio! The renowned winemaker, Ben Glaetzer, sources all of his fruit for this label from the Ebenezer district in the northern Barossa. Many knowledgeable experts cite this sub-region as the finest in the Valley."""
24930,Glaetzer Godolphin Shiraz/Cabernet Sauvignon 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"The wine is a seamless fusion of two varieties, Shiraz and Cabernet Sauvignon. A vibrant plummy red in color. On the nose, there are lifted blackcurrant and briary fruit, expressive of Cabernet Sauvignon, with pure cinnamon and chocolate spice. The Cabernet components remained on skins for 2-3 months and developed a savory complexity which tightens the shiraz. The palate has leafy, herbaceous notes and rich dark fruit flavours. Well-rounded and velvety, the tannins are ripe and focussed."
25356,Greenock Creek Alices Shiraz 2001,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"Rich and fleshy, with pretty coffee, plum, wild berry and spice notes that are smooth and polished, long and flavorful.  An extremely limited release wine from one of Australia's ""Cult"" wineries."
25358,Greenock Creek Alices Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"""The 2004 Shiraz ""Alice's Block"" received the same 28 months in used American oak. The riveting nose of smoke, asphalt, earth, truffle, blackberry, and blueberry roars from the glass. Dense, packed, and opulent, it somehow is able to concurrently exhibit finesse and elegance. Amazingly pure and long in the finish, one's first reaction is that it cannot get any better. Remarkably, it does. Greenock Creek Vineyard and Cellars, owned by Michael and Annabelle Waugh, is one of the Barossa's benchmark wineries. Start with a great terroir, add in old vine material, and meticulous winemaking and the results are usually extraordinary."" - Wine Advocate"
25359,Greenock Creek Alice's Shiraz 2003,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,97,"Rich and fleshy, with pretty coffee, plum, wild berry and spice notes that are smooth and polished, long and flavorful.  An extremely limited release wine from one of Australia's ""Cult"" wineries."
25363,Greenock Creek Apricot Block Shiraz 2001,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,99,"The Shiraz Apricot Block, 360 cases produced from microscopic yields of .9 tons of fruit per acre (8-year old vines), tips the scales at 14.5% alcohol, and was aged in both new and old large American barrels (called hogsheads) prior to being bottled unfiltered.  This dense, chewy Barossa classic has a finish that lasts over 60 seconds. Although still somewhat primary, it reveals tremendous potential, even from this challenging vintage."
25374,Greenock Creek Creek Block Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,99,"This ones not as swampy and marshy as many Creek Blocks have been, and while many have displayed fennel aromas - the volatile fennel grows right along the creek - the distinguishing factorthat tells us this is Creek Block is its mild Dutch licorice tang, with that pinch of salt. Theres no Piltdown Man this year, but a pleasant touch of tea tin, and overt chocolate, like in 1999 and 2003,with a pleasing shot of after dinner mint as well. The palates massive and squishy, like dark chocolate custard in a trifle, and that black tea comes back with its tannin to balance the lingering,solicitous, salacious finish. Like the 1999, the wine seems more alluringly feminine than most Creek Blocks."
25375,Greenock Creek Roennfeldt Road Shiraz 1997,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"This flagship wine is a monster from century old vines.  It speaks for itself – complex and intense, with masses of berry fruit and spice flavors that are complemented with a lovely oak finish that lingers on and on."
25376,Greenock Creek Roennfeldt Road Shiraz 1999,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"It is no accident that the  1995, 1996 & 1998 vintage received a perfect 100 point score by Robert Parker.  We think this vintage is just as impressive.  Extremely allocated! "
25378,Greenock Creek Roennfeldt Road Shiraz 2001,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,99,"Greenock Creek Vineyard and Cellars, owned by Michael and Annabelle Waugh, is one of the Barossa's benchmark wineries. Start with a great terroir, add in old vine material, and meticulous winemaking and the results are usually extraordinary."
25381,Greenock Creek Seven Acres Shiraz 2001,"Barossa Valley, Barossa, South Australia, Australia",Red Wine,98,"The Shiraz Seven Acre appears more earth-driven, revealing notes of tar, creosote, creme de cassis, licorice, and a hint of truffles. While firmer and more tannic, savage, and animal-like than its sibling, it possesses extraordinary density, power, and richness. Thirteen year old vines cropped at 1.4 tons of fruit per acre produced less than 100 cases."
25751,Guigal Chateau D'Ampuis Cote Rotie 2010,"Cote Rotie, Rhone, France",Red Wine,97,#77 
25853,Guigal Ermitage Ex Voto Blanc 2005,"Hermitage, Rhone, France",White Wine,97,"""Light gold. A stunning bouquet offers powerful pear, peach pit, anise, salty minerality and a huge wallop of smoky peat-this smells like an Islay whisky! Painfully concentrated pit fruit flavors are complemented by orange peel, clove and smoked meat, but there's an elegance to this that's reminiscent of a top-notch Burgundy. A simply remarkable wine, with uncanny complexity and depth of flavor."""
25856,Guigal Ermitage Ex Voto Blanc 2010,"Hermitage, Rhone, France",White Wine,98,"White flowers, haythorne, and acacia honey predominate on the nose. Aromatic and very powerful. Very expressive and fleshy fruit on the palate. The white comes from two parcels, les Murets (90%) and L'Hermite (10%). These two wines represent the pinnacle of the appellation, with exceptional concentration and great potential longevity. "
25859,Guigal Ermitage Ex Voto Blanc 2013,"Hermitage, Rhone, France",White Wine,97,"Brilliant clean straw yellow. Powerful and intense aromas of white flowers, acacia honey and hawthorn blossom. Rich and full-bodied on the palate. Fully expressive of the terroir which lends this Hermitage body and strength. "
25862,Guigal Ermitage Ex Voto Rouge 2009,"Hermitage, Rhone, France",Red Wine,97,"Ruby red with purplish highlights. A nose of black fruits, leather, licorice, as well as aromas of roasting, oriental spices, and eucalyptus. There is powerful aromatic intensity and a lot of fullness and structure in the mouth. A very assertive expression of terroir which expresses the elegance and power of its tannins. This wine is one for very long aging, massive and concentrated, it has a rare intensity of flavor and color. "
25863,Guigal Ermitage Ex Voto Rouge 2010,"Hermitage, Rhone, France",Red Wine,98,"The Hermitage Ex Voto Rouge displasys deep dark ruby color with mauve tints with aromas of black fruits, leather, licorice, coffee flavor and oriental spices. Powerful attack with richness and an important tannic structure. This wine expression fully the terroir trough its finesse and the strength of its tannins. Great ageing potential, structured and concentrated with a rare intensity of flavor and color."
25865,Guigal Ermitage Ex Voto Rouge 2013,"Hermitage, Rhone, France",Red Wine,97,"Black fruits, leathers, licorice, aromas of roasting and oriental spices. Notes of eucalyptus. Very powerful aromatic intensity. A lot of richness and structure on the palate. Very strong expression of the terroir which expresses itself by the elegance and the power of its tannins."
25892,Guigal La Doriane Condrieu 2006,"Condrieu, Rhone, France",White Wine,97,100% Viognier  
25901,Guigal La Landonne Cote Rotie 1997,"Cote Rotie, Rhone, France",Red Wine,97,"Red-black robe with dark nuances. On the nose, intense and powerful aromas of black fruits, licorice, Asian spices and roast. The attack on the palate reveals power, concentration as well as massively structured but elegant tannins. The wine magnificently translates its terroir.  "
25903,Guigal La Landonne Cote Rotie 2006,"Cote Rotie, Rhone, France",Red Wine,97,"The 2006 vintage produced wines with more forward fruit than 2005, but with good tannic structure and at least 20 years of aging potential in a good cellar. "
25904,Guigal La Landonne Cote Rotie 2007,"Cote Rotie, Rhone, France",Red Wine,97,"A 2.1 hectare site planted entirely with Syrah, La Landonne has been produced since 1978. Guigal acquired the vineyard from numerous small owners, building his holding parcel by parcel over a decade. The vineyard is on one of the steepest of the Côte Brune, a 45 degree slope on pure schist. This is often the most tannic and structured of the Cote Roties, and can take decades to reveal its true potential."
